시/도,구,단지명,URL,입주일자,세대수,최고가,최저가(22년이후),최저가(2개월이내),매물최저가,최저비율,매물개수,80%이하rur개수,전세매물최고,전세가율,전세매물최저,전세매물개수
서울특별시,강동구,배재현대(국평),https://new.land.naver.com/complexes/875,1995.11.30.,448세대(4동),14억5천,9억1천500,11억2천,10억3천,-28,26건,15건,6억5천,50,6억,9건
서울특별시,강동구,고덕롯데캐슬베네루체(소형),https://new.land.naver.com/complexes/117309,2019.12.30.,"1,859세대(기타임대 97세대 포함, 총20동)",14억1천,9억,10억3천700,10억2천,-27,32건,28건,6억2천,52,5억2천500,18건
서울특별시,강동구,성내동삼성아파트(국평),https://new.land.naver.com/complexes/993,1999.09.01.,"1,220세대(10동)",14억5천,10억,0,10억,-31,27건,11건,6억,41,6억,1건
서울특별시,강동구,고덕숲아이파크(소형),https://new.land.naver.com/complexes/110765,2018.03.08.,"687세대(기타임대 27세대 포함, 총13동)",13억7천,9억1천,9억8천,10억,-27,10건,4건,6억3천,55,5억5천,8건
서울특별시,강동구,고덕리엔파크1단지(국평),https://new.land.naver.com/complexes/102233,2011.01.14.,"605세대(국민임대 148세대, 장기전세 311세대 포함, 총9동)",12억500,9억3천800,9억7천,9억9천,-17,7건,0건,5억5천,42,5억5천,3건
서울특별시,강동구,프라이어팰리스(소형),https://new.land.naver.com/complexes/19578,2007.07.09.,"1,622세대(22동)",12억5천500,8억6천,9억8천,9억6천,-23,6건,2건,5억7천,56,5억,7건
서울특별시,강동구,현대홈타운(소형),https://new.land.naver.com/complexes/9682,2004.08.27.,568세대(9동),9억7천,8억4천400,9억3천,9억6천,-1,2건,0건,,,,
서울특별시,강동구,이편한세상강동에코포레(소형),https://new.land.naver.com/complexes/119933,2020.04.14.,"366세대(기타임대 38세대 포함, 총6동)",13억,8억7천750,9억,9억5천,-26,13건,12건,5억9천,56,5억,11건
서울특별시,강동구,둔촌푸르지오(소형),https://new.land.naver.com/complexes/27212,2010.03.12.,800세대(10동),12억,8억5천,9억7천500,9억5천,-20,7건,4건,,,,
서울특별시,강동구,성내동삼성아파트(소형),https://new.land.naver.com/complexes/993,1999.09.01.,"1,220세대(10동)",11억,7억8천,8억9천500,8억3천,-24,25건,8건,5억5천,57,5억,3건
서울특별시,강동구,배재현대(소형),https://new.land.naver.com/complexes/875,1995.11.30.,448세대(4동),12억,7억5천,8억1천500,8억2천,-31,15건,14건,4억5천,45,4억5천,4건
